0,1,2,3,4,5,6,7
77071,100,48,0,6,33,16,14
77010,346,2994,873,21,33,16,15
76847,195,482896,1291,18,33,16,24
76662,556,789,7750,18,75,3,24
76576,369,52302,7271,104,27,3,24
76220,88,138381,9457,17,44,16,23
75165,190,509,101725,36,31,3,23
74884,165,12649,25631,48,70,21,576
73841,151,2587,25847,7,166,6,232
73833,267,585,69,11,32,3,23
73734,466,3379,13272,145,12,666,23
73251,338,4255,158,13,32,0,23
72720,230,341,245,16,32,5,21
72321,65,1040,2450,97,32,3,23
71974,135,1772,542,12,36,59,22
71209,398,305,699,14,31,3,22
71175,590,1043,682,24,31,8,22
71146,324,2137,2920,64,31,0,30
70431,280,3231,122,190,31,11,14
70000,12,653,367,27,36,15,7
69530,306,2227,165,33,86,61,7
69420,186,52319,26539,135,124,3,139
69255,438,15731,3509,19,17,25,22
68424,332,756,760,78,7,9,22
68038,424,217,12,16,23,14,22
67316,412,451,1911,32,37,3,122
67000,2,391,1382,9,85,50,147
66929,101,665,1560,29,8,222,183
66897,244,7068,11637,14,13,245,20
66546,527,11582,14806,36,30,14,21
